"COMMENT","ID","EN","DE","NL","FR","GR","IT","PT","RU","ES"
"Always open as UTF8 !",,,,,,,,,,
"version=2050401",,,,,,,,,,
,,"English","German","Dutch","French","Greek","Italian","Portuguese","Cyrillic","Spanish"
,,,,,,,,,,
,,"no","nein","nr","non","αριθ.","no","não","нет","no"
,,"yes","ja","ja","oui","ναι","sì","sim","да","sí"
,,,,,,,,,,
,,"Quit","Abrechen","Houd met op","Stoppé","Εγκαταλείψτε","Rinunciato","Parado","Прекращено","Parado"
,,,,,,,,,,
,,"Select Options","Optionen Auswehlen","Selecteer Opties","Choisissez Les Options","Επιλέξτε τις επιλογές","Selezioni Le Opzioni","Selecione Opções","Выберите Варианты","Seleccione Las Opciones"
,,,,,,,,,,
,,"Water flow test Level","Wasser Test Level","Het Niveau van de de stroomtest van het water","Niveau d'essai d'écoulement de l'eau","Επίπεδο δοκιμής ροής του νερού","Livello della prova di flusso dell'acqua","Nível do teste do fluxo da água","Уровень испытания подачи воды","Nivel de la prueba del flujo del agua"
,,,,,,,,,,
,,"Avatar Editor",,"Avatar Redacteur","Rédacteur D'Avatar","Συντάκτης ειδώλων","Redattore Del Avatar","Editor Do Avatar","Редактор Воплощения","Redactor Del Avatar"
,,,,,,,,,,
,,"Start window maximised","Start Fenster Vergroessert","Gemaximaliseerde het venster van het begin","Commencez la fenêtre maximisée","Παράθυρο έναρξης που μεγιστοποιείται","Inizi la finestra elevata","Comece a janela maximised","Начните увеличенное окно","Comience la ventana maximizada"
,,,,,,,,,,
,,"Start window normal","Start Fenster Normale Groesse","Normale het venster van het begin","Commencez la normale de fenêtre","Παράθυρο έναρξης κανονικό","Inizi il normale della finestra","Comece o normal da janela","Начните нормальный окна","Comience la ventana normal"
,,,,,,,,,,
,,"Sound off","Tom Aus","Geluid weg","Bruit au loin","Ήχος μακριά","Suono fuori","Som fora","Звук","Sonido apagado"
,,,,,,,,,,
,,"Sound on","Ton Ein","Geluid","Bruit dessus","Ήχος επάνω","Suono sopra","Som sobre","Звук дальше","Sonido encendido"
,,,,,,,,,,
,,"Back to main menu","Zuruck zum Hauptmenu","Terug naar hoofdmenu","De nouveau au menu principal","Πίσω στις κύριες επιλογές","Di nuovo al menu principale","Para trás ao menu principal","Back to главным образом меню","De nuevo a menú principal"
,,,,,,,,,,
,,"Quit to main menu","Abrechen und zum Hauptmenu zuruck kehren","Houd met aan hoofdmenu op","Stoppé au menu principal","Εγκαταλείψτε στις κύριες επιλογές","Rinunciato al menu principale","Parado ao menu principal","Прекращено к главным образом меню","Parado al menú principal"
,,,,,,,,,,
,,"Continue","Weiter","Ga verder","Continuez","Συνεχιστείτε","Continui","Continue","Продолжайтесь","Continúe"
,,,,,,,,,,
,,"Save all mood poses as .PNG files of selected size","Alle Stimmungs Haltungen als .PNG files der bestimmten grosse speichern","Sparen allen stelt de stemming zoals. PNG- dossiers van geselecteerde grootte","Économiser toute l'humeur pose comme des dossiers de PNG de taille choisie","Εκτός από όλους η διάθεση θέτει όπως. αρχεία PNG του επιλεγμένου μεγέθους","Risparmi tutto l'umore propone come lime del PNG del formato selezionato","Excepto todo o modo poses como limas do PNG do tamanho selecionado","За исключением всего настроения представляет по мере того как архивы PNG выбранного размера","Excepto todo el humor se presenta como los archivos del PNG del tamaño seleccionado"
,,,,,,,,,,
